2003 [Test worker] INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
23924 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: h3 was found
24083 [Test worker] INFO  tests.TestBase - Test endaddNewContactSuccess
24084 [Test worker] INFO  tests.TestBase - Test name ----->addNewContactSuccess
24084 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //button[text()='Sign Out']
24095 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //button[text()='Sign Out'] was found
24096 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .contact-item_card__2SOIM
24112 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .contact-item_card__2SOIM was found
24112 [Test worker] INFO  tests.TestBase - The test 'Add new contact starts with count of contact---->14
24112 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //a[normalize-space()='ADD']
24126 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //a[normalize-space()='ADD'] was found
24162 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Name']
24175 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Name'] was found
24286 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Last Name']
24296 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Last Name'] was found
24454 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Phone']
24469 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Phone'] was found
24580 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='email']
24594 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='email'] was found
24719 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Address']
24733 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Address'] was found
24845 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='description']
24858 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='description'] was found
24967 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .add_form__2rsm2 button
24981 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .add_form__2rsm2 button was found
28027 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .contact-item_card__2SOIM
28051 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .contact-item_card__2SOIM was found
28051 [Test worker] INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->15
31054 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: h2
31081 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: h2 was found
31222 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: h3
31231 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: h3 was found
31401 [Test worker] INFO  tests.TestBase - Test endaddNewContactSuccess
